bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/10/2024 9:00:00 AM,6/10/2024 5:00:00 AM,170773.30,171308.70,172374.10
6/10/2024 10:00:00 AM,6/10/2024 6:00:00 AM,171621.70,172242.00,172374.10
6/10/2024 11:00:00 AM,6/10/2024 7:00:00 AM,173638.40,174073.90,172374.10
6/10/2024 12:00:00 PM,6/10/2024 8:00:00 AM,175638.10,175986.60,172374.10
6/10/2024 1:00:00 PM,6/10/2024 9:00:00 AM,176528.80,176893.40,172374.10
6/10/2024 2:00:00 PM,6/10/2024 10:00:00 AM,176643.90,176983.60,172374.10
6/10/2024 3:00:00 PM,6/10/2024 11:00:00 AM,176779.90,177154.90,172374.10
6/10/2024 4:00:00 PM,6/10/2024 12:00:00 PM,176733.70,177110.10,172374.10
6/10/2024 5:00:00 PM,6/10/2024 1:00:00 PM,176600.80,177046.20,172374.10
6/10/2024 6:00:00 PM,6/10/2024 2:00:00 PM,175844.30,176181.30,172374.10
6/10/2024 7:00:00 PM,6/10/2024 3:00:00 PM,175568.50,176170.10,172374.10
6/10/2024 8:00:00 PM,6/10/2024 4:00:00 PM,175567.20,176052.80,172374.10
6/10/2024 9:00:00 PM,6/10/2024 5:00:00 PM,175025.20,175418.70,172374.10
6/10/2024 10:00:00 PM,6/10/2024 6:00:00 PM,174077.70,174470.50,172374.10
6/10/2024 11:00:00 PM,6/10/2024 7:00:00 PM,172212.10,172685.80,172374.10
6/11/2024 12:00:00 AM,6/10/2024 8:00:00 PM,178262.10,180159.10,172374.10
6/11/2024 1:00:00 AM,6/10/2024 9:00:00 PM,179052.90,180920.90,172374.10
6/11/2024 2:00:00 AM,6/10/2024 10:00:00 PM,179761.70,181629.70,172374.10
6/11/2024 3:00:00 AM,6/10/2024 11:00:00 PM,179518.70,181386.70,172374.10
6/11/2024 4:00:00 AM,6/11/2024 12:00:00 AM,168951.50,169579.60,172374.10
6/11/2024 5:00:00 AM,6/11/2024 1:00:00 AM,168406.80,168942.50,172374.10
6/11/2024 6:00:00 AM,6/11/2024 2:00:00 AM,168328.70,168891.40,172374.10
6/11/2024 7:00:00 AM,6/11/2024 3:00:00 AM,168307.10,168846.00,172374.10
6/11/2024 8:00:00 AM,6/11/2024 4:00:00 AM,168277.80,168805.30,172374.10
6/11/2024 9:00:00 AM,6/11/2024 5:00:00 AM,167490.80,168029.50,172374.10
6/11/2024 10:00:00 AM,6/11/2024 6:00:00 AM,168997.20,169549.70,172374.10
6/11/2024 11:00:00 AM,6/11/2024 7:00:00 AM,170917.80,171252.00,172374.10
